Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,32.360001,32.820000,32.330002,32.380001,32.380001,1203300
2018-09-05,32.259998,32.529999,30.580000,31.190001,31.190001,901400
2018-09-06,31.170000,31.240000,30.150000,30.549999,30.549999,857600
2018-09-07,30.440001,31.480000,30.440001,31.280001,31.280001,726900
2018-09-10,31.709999,31.940001,31.129999,31.379999,31.379999,836200
2018-09-11,31.190001,32.029999,31.160000,31.820000,31.820000,726700
2018-09-12,31.730000,31.879999,30.559999,31.459999,31.459999,1142000
2018-09-13,31.549999,32.139999,31.299999,31.459999,31.459999,821400
2018-09-14,31.370001,31.809999,31.090000,31.709999,31.709999,1343400
2018-09-17,31.660000,31.940001,30.879999,30.969999,30.969999,855800
2018-09-18,31.059999,31.730000,30.990000,31.440001,31.440001,551600
2018-09-19,31.629999,31.870001,30.520000,31.070000,31.070000,814200
2018-09-20,31.240000,31.520000,30.629999,31.459999,31.459999,617500
2018-09-21,31.469999,31.780001,31.350000,31.520000,31.520000,1704100
2018-09-24,31.330000,31.620001,30.660000,31.410000,31.410000,895000
2018-09-25,31.590000,32.549999,31.370001,32.330002,32.330002,941800
2018-09-26,30.830000,31.299999,27.900000,28.420000,28.420000,5164700
2018-09-27,28.490000,28.990000,26.540001,28.080000,28.080000,4576100
2018-09-28,28.070000,28.639999,27.549999,28.430000,28.430000,2092200
2018-10-01,28.500000,28.879999,27.160000,27.420000,27.420000,1248900
2018-10-02,28.750000,29.480000,28.490000,28.760000,28.760000,3154000
2018-10-03,28.860001,29.490000,28.400000,28.920000,28.920000,1285100
2018-10-04,28.830000,28.830000,27.020000,27.680000,27.680000,1606100
2018-10-05,27.790001,28.340000,26.900000,27.870001,27.870001,1132500
2018-10-08,27.719999,28.190001,27.129999,27.600000,27.600000,756300
2018-10-09,27.469999,28.049999,27.280001,27.450001,27.450001,1013600
2018-10-10,27.520000,27.520000,25.959999,25.969999,25.969999,1446000
2018-10-11,25.680000,26.320000,24.809999,24.930000,24.930000,2099300
2018-10-12,25.540001,25.870001,25.040001,25.500000,25.500000,1785000
2018-10-15,25.469999,26.080000,25.000000,25.850000,25.850000,784400
2018-10-16,26.070000,27.020000,25.750000,26.980000,26.980000,990600
2018-10-17,27.040001,27.340000,26.510000,26.700001,26.700001,918800
2018-10-18,26.469999,26.690001,25.219999,25.770000,25.770000,757600
2018-10-19,25.920000,26.049999,25.150000,25.260000,25.260000,759500
2018-10-22,25.360001,26.139999,25.320000,25.530001,25.530001,880700
2018-10-23,24.770000,25.469999,24.500000,25.219999,25.219999,968700
2018-10-24,25.170000,25.780001,23.889999,23.900000,23.900000,1591800
2018-10-25,24.600000,25.230000,24.219999,24.930000,24.930000,1490400
2018-10-26,24.370001,24.389999,23.320000,23.799999,23.799999,1574600
2018-10-29,24.270000,24.570000,22.670000,22.990000,22.990000,2371300
2018-10-30,25.139999,26.830000,24.500000,26.320000,26.320000,6208900
2018-10-31,26.680000,27.850000,26.680000,27.280001,27.280001,1762500
2018-11-01,26.379999,27.750000,26.250000,27.600000,27.600000,1918400
2018-11-02,27.950001,28.200001,26.520000,26.719999,26.719999,1670800
2018-11-05,26.770000,26.889999,25.969999,26.639999,26.639999,1146100
2018-11-06,26.559999,27.010000,26.129999,26.620001,26.620001,1777300
2018-11-07,26.860001,27.959999,26.650000,27.820000,27.820000,1033300
2018-11-08,27.719999,27.990000,27.379999,27.570000,27.570000,697500
2018-11-09,27.379999,27.379999,26.530001,27.090000,27.090000,1299600
2018-11-12,26.920000,26.920000,25.670000,26.200001,26.200001,1414200
2018-11-13,26.350000,26.740000,25.820000,25.889999,25.889999,1645900
2018-11-14,26.020000,26.450001,25.799999,26.049999,26.049999,2250500
2018-11-15,25.820000,26.490000,25.650000,26.480000,26.480000,3499200
2018-11-16,26.180000,26.990000,25.969999,26.340000,26.340000,1211400
2018-11-19,26.250000,26.469999,24.780001,24.790001,24.790001,1281700
2018-11-20,23.950001,25.150000,23.209999,24.910000,24.910000,993600
2018-11-21,25.280001,25.540001,24.719999,24.980000,24.980000,853900
2018-11-23,24.740000,25.540001,24.740000,25.120001,25.120001,250700
2018-11-26,25.410000,26.000000,25.219999,25.959999,25.959999,1178500
2018-11-27,25.709999,26.230000,25.709999,25.969999,25.969999,679900
2018-11-28,26.299999,27.330000,26.059999,27.209999,27.209999,2041900
2018-11-29,27.129999,28.330000,26.860001,27.889999,27.889999,1362000
2018-11-30,27.840000,28.139999,27.559999,27.950001,27.950001,791900
2018-12-03,28.500000,28.940001,28.090000,28.820000,28.820000,1296100
2018-12-04,28.719999,29.030001,27.570000,27.820000,27.820000,1076000
2018-12-06,27.209999,28.790001,27.020000,28.790001,28.790001,1348300
2018-12-07,28.600000,28.959999,28.410000,28.690001,28.690001,1605400
2018-12-10,28.610001,29.790001,28.610001,29.520000,29.520000,2193200
2018-12-11,29.950001,29.959999,28.580000,29.000000,29.000000,715700
2018-12-12,29.410000,30.350000,29.040001,29.670000,29.670000,1081500
2018-12-13,29.709999,29.900000,28.690001,28.850000,28.850000,836800
2018-12-14,28.540001,29.650000,28.420000,29.209999,29.209999,1157900
2018-12-17,29.080000,29.590000,28.530001,28.799999,28.799999,1348600
2018-12-18,29.000000,29.920000,28.940001,29.250000,29.250000,1303900
2018-12-19,29.450001,30.240000,28.820000,28.990000,28.990000,1792600
2018-12-20,28.750000,29.090000,27.129999,27.379999,27.379999,1521000
2018-12-21,27.430000,27.520000,25.719999,25.889999,25.889999,1527600
2018-12-24,25.660000,25.930000,25.160000,25.270000,25.270000,597000
2018-12-26,25.400000,27.459999,25.260000,27.440001,27.440001,1113700
2018-12-27,26.950001,27.950001,26.780001,27.950001,27.950001,925800
2018-12-28,28.100000,28.639999,27.219999,28.000000,28.000000,521600
2018-12-31,28.200001,28.740000,27.910000,28.420000,28.420000,533900
2019-01-02,28.000000,28.590000,27.580000,28.490000,28.490000,669400
2019-01-03,28.209999,28.870001,27.799999,28.320000,28.320000,710300
2019-01-04,28.790001,29.990000,28.660000,29.879999,29.879999,1414900
2019-01-07,29.840000,30.910000,29.690001,30.580000,30.580000,1291700
2019-01-08,31.000000,31.600000,30.719999,31.260000,31.260000,1727800
2019-01-09,31.559999,32.540001,31.530001,32.470001,32.470001,2029600
2019-01-10,32.349998,33.250000,31.700001,32.520000,32.520000,1837200
2019-01-11,32.439999,32.439999,32.000000,32.360001,32.360001,812200
2019-01-14,32.099998,32.259998,31.559999,31.969999,31.969999,779100
2019-01-15,32.310001,32.779999,32.169998,32.709999,32.709999,1273700
2019-01-16,32.869999,33.450001,32.820000,33.000000,33.000000,1227200
2019-01-17,32.759998,33.540001,32.650002,33.380001,33.380001,1345300
2019-01-18,33.580002,34.090000,33.259998,33.900002,33.900002,1614600
2019-01-22,33.959999,34.000000,32.990002,33.330002,33.330002,1792200
2019-01-23,33.360001,34.080002,33.080002,33.779999,33.779999,2888200
2019-01-24,33.730000,34.680000,33.549999,34.080002,34.080002,810300
2019-01-25,34.509998,34.790001,34.240002,34.639999,34.639999,1274800
2019-01-28,34.090000,34.740002,33.860001,34.380001,34.380001,1358500
2019-01-29,34.360001,34.669998,34.080002,34.459999,34.459999,827700
2019-01-30,34.820000,35.000000,34.279999,34.660000,34.660000,875000
2019-01-31,34.810001,35.590000,34.799999,35.220001,35.220001,1124200
2019-02-01,35.099998,35.619999,35.020000,35.400002,35.400002,1448500
2019-02-04,35.360001,36.009998,35.020000,35.750000,35.750000,1266100
2019-02-05,35.810001,36.049999,35.360001,35.840000,35.840000,1105400
2019-02-06,35.860001,36.000000,35.290001,35.650002,35.650002,1207000
2019-02-07,35.299999,35.500000,34.869999,35.209999,35.209999,1422600
2019-02-08,34.080002,34.599998,33.250000,34.400002,34.400002,2835800
2019-02-11,34.529999,35.470001,34.189999,34.799999,34.799999,3879000
2019-02-12,38.410000,38.759998,36.150002,37.459999,37.459999,8354100
2019-02-13,37.970001,38.009998,36.939999,37.480000,37.480000,2054800
2019-02-14,37.259998,37.599998,36.840000,37.349998,37.349998,1283600
2019-02-15,37.549999,37.790001,37.060001,37.759998,37.759998,1814200
2019-02-19,37.759998,38.570000,37.759998,37.959999,37.959999,1865400
2019-02-20,38.000000,38.150002,37.150002,37.480000,37.480000,1216400
2019-02-21,37.470001,38.349998,37.320000,38.330002,38.330002,1244900
2019-02-22,38.500000,39.160000,38.340000,39.130001,39.130001,1426100
2019-02-25,39.369999,39.759998,39.040001,39.500000,39.500000,1470700
2019-02-26,39.279999,39.279999,38.459999,38.939999,38.939999,948900
2019-02-27,38.750000,39.459999,38.470001,39.450001,39.450001,969800
2019-02-28,39.380001,40.000000,39.139999,39.630001,39.630001,2668300
2019-03-01,39.849998,40.549999,39.810001,40.419998,40.419998,1825800
2019-03-04,40.400002,40.410000,38.139999,39.240002,39.240002,1882900
2019-03-05,39.439999,39.669998,38.750000,39.480000,39.480000,1250600
2019-03-06,39.779999,39.790001,39.020000,39.599998,39.599998,1029000
2019-03-07,39.639999,39.770000,39.080002,39.290001,39.290001,866600
2019-03-08,38.849998,39.730000,38.500000,39.459999,39.459999,1125900
2019-03-11,39.540001,40.200001,39.349998,40.160000,40.160000,1454300
2019-03-12,40.200001,40.619999,39.689999,40.270000,40.270000,1369500
2019-03-13,40.299999,40.950001,40.099998,40.700001,40.700001,999400
2019-03-14,40.700001,41.340000,40.599998,41.230000,41.230000,1425900
2019-03-15,41.660000,41.660000,40.889999,41.090000,41.090000,1366700
2019-03-18,41.070000,41.500000,40.650002,41.220001,41.220001,891700
2019-03-19,41.119999,41.689999,40.930000,41.500000,41.500000,841900
2019-03-20,41.389999,41.490002,40.720001,40.930000,40.930000,1212500
2019-03-21,40.400002,40.869999,39.500000,39.660000,39.660000,6510600
