Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,87.410004,88.980003,87.410004,88.949997,86.001678,3562700
2018-09-05,88.930000,89.419998,88.150002,88.599998,85.663300,7113900
2018-09-06,89.199997,90.199997,88.800003,88.879997,85.934013,4504900
2018-09-07,88.980003,89.989998,88.209999,88.739998,85.798645,4614900
2018-09-10,89.400002,90.389999,88.919998,89.260002,86.301422,4156000
2018-09-11,89.389999,89.830002,88.730003,88.800003,85.856667,3070200
2018-09-12,88.940002,89.199997,88.269997,88.650002,85.711639,2920500
2018-09-13,88.629997,88.940002,87.949997,88.080002,85.160538,3756500
2018-09-14,88.120003,88.519997,87.540001,87.940002,85.025177,3433300
2018-09-17,88.180000,88.209999,87.139999,87.279999,84.387047,2857300
2018-09-18,86.959999,87.970001,86.650002,87.680000,84.773781,5014100
2018-09-19,87.680000,87.940002,86.379997,87.160004,84.271027,3218500
2018-09-20,87.370003,87.639999,86.720001,87.379997,84.483727,3242100
2018-09-21,87.529999,88.660004,87.059998,87.309998,84.416054,6707500
2018-09-24,87.209999,88.529999,87.040001,87.239998,84.348366,3475700
2018-09-25,87.419998,87.989998,86.860001,87.309998,84.416054,2949600
2018-09-26,87.449997,88.370003,87.260002,87.889999,84.976822,3880100
2018-09-27,87.839996,88.239998,87.379997,87.510002,84.609428,3075800
2018-09-28,87.660004,88.290001,87.480003,88.209999,85.286224,3924000
2018-10-01,88.330002,88.790001,88.209999,88.470001,85.537605,3154800
2018-10-02,88.360001,89.389999,86.419998,86.620003,83.748924,4258800
2018-10-03,86.730003,86.750000,85.650002,85.970001,83.120468,4270700
2018-10-04,85.839996,86.519997,84.419998,84.839996,82.027916,5473200
2018-10-05,84.849998,85.230003,83.809998,84.519997,81.718529,5075200
2018-10-08,84.389999,85.559998,84.169998,85.400002,82.569351,3732000
2018-10-09,85.489998,86.800003,85.489998,85.660004,82.820747,3330900
2018-10-10,85.669998,86.809998,85.070000,85.199997,82.375984,4952600
2018-10-11,85.419998,86.129997,82.699997,82.800003,80.055542,5091000
2018-10-12,84.089996,85.760002,83.769997,84.610001,81.805550,5128900
2018-10-15,84.559998,85.309998,84.320000,84.599998,81.795876,3345500
2018-10-16,85.139999,86.070000,84.550003,85.809998,82.965775,2691700
2018-10-17,85.559998,85.949997,83.540001,84.419998,81.621841,4191800
2018-10-18,83.589996,84.580002,82.000000,83.360001,80.596977,4242600
2018-10-19,83.730003,83.769997,81.919998,82.019997,79.301392,5464400
2018-10-22,82.500000,83.779999,82.500000,83.230003,80.471291,3420200
2018-10-23,81.279999,82.949997,81.070000,82.669998,79.929848,4517500
2018-10-24,82.589996,84.300003,82.110001,82.269997,79.543098,5098800
2018-10-25,83.180000,84.580002,82.650002,83.830002,81.051407,5311600
2018-10-26,83.720001,84.260002,81.809998,81.940002,79.224045,6128800
2018-10-29,82.779999,85.519997,82.510002,84.099998,81.312447,5353000
2018-10-30,84.800003,86.470001,84.550003,85.769997,82.927094,5767600
2018-10-31,86.470001,86.470001,83.519997,83.629997,80.858032,6674200
2018-11-01,83.510002,84.379997,82.980003,84.230003,81.438141,4388600
2018-11-02,84.760002,85.669998,83.459999,84.410004,81.612175,3637600
2018-11-05,84.559998,85.519997,84.110001,85.349998,82.521004,3670700
2018-11-06,85.440002,85.669998,84.930000,85.589996,82.753067,3837700
2018-11-07,87.510002,87.660004,85.760002,86.760002,83.884285,6778300
2018-11-08,87.000000,87.860001,86.790001,87.599998,84.696434,4477900
2018-11-09,87.440002,87.930000,86.669998,86.940002,84.058319,3490000
2018-11-12,87.169998,87.290001,85.239998,85.470001,82.637039,4720800
2018-11-13,85.620003,85.980003,83.940002,84.320000,81.525146,4328400
2018-11-14,84.519997,85.599998,82.610001,83.129997,80.374588,5625500
2018-11-15,82.849998,82.849998,80.070000,80.760002,78.083168,7119000
2018-11-16,79.449997,80.160004,78.209999,79.680000,77.038956,8260900
